order_id,order_date,customer_id,customer_age,region,channel,category,product,unit_price,quantity,discount_pct,revenue,payment_method,order_status,rating
ORD-000001,2025-12-26,CUST-00143,31.0,North,Mobile App,Clothing,Running Shoes,158.92,2,0,317.84,Gift Card,Completed,1.1
ORD-000002,2025-11-13,CUST-00734,69.0,Central,Mobile App,Books,Fiction Novel,23.7,1,10,21.33,Crypto,Completed,1.0
ORD-000003,2026-07-18,CUST-00981,69.0,East,Website,Home & Kitchen,Bed Sheets,49.47,2,0,98.94,Crypto,Completed,3.4
ORD-000004,2026-07-01,CUST-00388,22.0,North,Mobile App,Electronics,USB-C Hub,49.15,4,25,147.45,Gift Card,Cancelled,1.8
ORD-000005,2025-11-03,CUST-00876,41.0,South,Marketplace,Electronics,Smartwatch,430.2,1,25,322.65,Crypto,Completed,2.5
ORD-000006,2026-07-02,CUST-00700,35.0,North,Mobile App,Beauty,Moisturizer,47.42,1,15,40.31,Debit Card,Completed,2.8
ORD-000007,2026-05-21,CUST-00235,63.0,North,Marketplace,Books,Business Mindset,32.04,4,15,108.94,Crypto,Completed,4.8
ORD-000008,2025-12-27,CUST-00937,55.0,West,Website,Beauty,Moisturizer,71.19,2,5,135.26,Debit Card,Completed,2.1
ORD-000009,2026-03-16,CUST-00142,61.0,Central,Mobile App,Toys,Doll Set,29.42,1,0,29.42,Credit Card,Cancelled,1.6
ORD-000010,2025-03-03,CUST-00480,64.0,Central,Website,Toys,Doll Set,16.79,2,5,31.9,Gift Card,Cancelled,
ORD-000011,2025-03-15,CUST-00349,34.0,North,Website,Clothing,Winter Coat,166.12,1,15,141.2,Debit Card,Completed,4.5
ORD-000012,2024-09-27,CUST-00306,51.0,Central,Mobile App,Home & Kitchen,Blender,106.94,1,20,85.55,Debit Card,Completed,4.8
ORD-000013,2026-08-10,CUST-00952,23.0,East,Marketplace,Electronics,Bluetooth Speaker,72.28,1,0,72.28,PayPal,Completed,3.3
ORD-000014,2026-08-30,CUST-00546,56.0,South,Website,Clothing,Polo Shirt,51.72,1,25,38.79,Crypto,Pending,3.1
ORD-000015,2026-07-11,CUST-00707,51.0,South,Marketplace,Toys,Remote Car,79.52,1,15,67.59,Crypto,Pending,2.8
ORD-000016,2025-02-28,CUST-00022,58.0,Central,Mobile App,Automotive,Car Phone Mount,11.33,1,0,11.33,Gift Card,Completed,
ORD-000017,2025-01-16,CUST-00339,54.0,North,Mobile App,Electronics,Smartwatch,83.45,1,0,83.45,PayPal,Completed,1.5
ORD-000018,2025-08-09,CUST-00195,21.0,North,Website,Automotive,Dash Cam,126.31,1,15,107.36,Crypto,Completed,4.5
ORD-000019,2026-02-24,CUST-00883,29.0,North,Website,Clothing,Running Shoes,46.94,1,5,44.59,Debit Card,Completed,
ORD-000020,2025-06-11,CUST-00454,33.0,Central,Website,Sports,Jump Rope,8.75,1,20,7.0,Gift Card,Returned,4.7
